SessionId,Phase,Step,Time,LeftSimilarity,RightSimilarity
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,12.748,1.0000,0.6814
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,12.860,1.0000,0.6886
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,12.971,1.0000,0.6898
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,13.082,1.0000,0.6854
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,13.193,1.0000,0.6830
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,13.304,1.0000,0.6780
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,13.415,1.0000,0.6892
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,13.526,1.0000,0.6792
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,13.637,1.0000,0.6839
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,13.748,1.0000,0.6789
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,13.859,1.0000,0.6910
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,13.970,1.0000,0.6875
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,14.081,1.0000,0.7384
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,14.193,1.0000,0.7930
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,14.304,1.0000,0.8139
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,14.415,1.0000,0.8123
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,14.526,1.0000,0.8032
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,14.637,1.0000,0.8215
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,14.748,1.0000,0.8254
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,14.859,1.0000,0.8264
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,14.970,1.0000,0.8359
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,15.081,1.0000,0.7896
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,15.193,1.0000,0.7902
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,15.304,1.0000,0.7022
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,15.415,1.0000,0.7259
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,15.526,1.0000,0.7592
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,15.637,1.0000,0.7858
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,15.748,1.0000,0.7840
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,15.859,1.0000,0.7933
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,15.970,1.0000,0.7942
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,16.081,1.0000,0.7917
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,16.193,1.0000,0.7952
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,16.304,1.0000,0.8081
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,16.415,1.0000,0.8119
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,16.526,1.0000,0.8131
