scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime,contactTarget,pivotTarget,pivotPlaneAxis,invertAngle
1,PM,진단,진단,1,1,0,유양돌기의 후상방에 위치하면서 눌렀을 때 약간 편평하면서 탄성이 느껴지는 두정골의 틈을 내방으로 누르면서 양쪽의 탄성과 유연성을 비교하고 확인하여 더 단단한 쪽이 있는지 진단한다.,,,,,,,,,,,,
1,PM,,시술하기,3,1,0,주동수는 기능장애가 일어난 대측의 손이 되는데 무지를 이용하여 제한된 두정골의 틈을 단단히 고정하고 나머지 손가락과 손바닥을 이용하여 환자의 머리를 농구공처럼 안정감있게 접촉하고 동측의 손은 무지로 유양돌기를 외방에서 내방으로 단단하게 지지하여 접촉한다.,보조수의 동작을 설명하는 영상,,,,,,,,,,,
1,PM,,시술하기,3,2,0,유양돌기를 고정하고 있는 보조수에 대하여 주동수를 이용하여 두정골의 틈을 압박하여 상방으로 들어올리는 힘을 가한다. ,주동수의 동작을 설명하는 영상,,,,,,,,,,,
2,PM,,시술하기,3,3,0,이 상태를 유지하면서 환자에게 크게 호흡을 3회 정도 하게 한다.,,,,,,,,,,,,
3,PM,,재평가,4,1,0,재평가는 시술과 같은 과정을 거치는지? 아니면 진단과 같은 방법인지?,,,,,,,,,,,,
1,PM,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,PJ,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",,,,,,,,,,,,
1,PJ,,위치하기,2,1,0,환자의 두방에서 족방을 향하여 앉으세요 (실습 진입시 환자의 머리쪽에서 시작할 예정이라 별도 안내 필요 없을 경우 삭제),시술자의 위치를 설명하는 영상,,,,,,,,,,,
1,PJ,,위치하기,2,2,0,관골아치(zygomatic arch)와 유양돌기(mastoid process)를 접촉,주동수의 위치를 보여주는 영상,,,,,,,,,,,
1,PJ,,위치하기,2,3,0,후두골(occipital bone)을 접촉,보조수의 위치를 보여주는 영상,,,,,,,,,,,
1,PJ,진단,진단,1,1,0,측두골의 역설적 움직임은 양측 측두골과 후두골의 움직임을 비교하여 진단한다.,,,,,,,,,,,,
1,PJ,,시술하기,3,1,0,시술자는 환자의 두방에서 좌위로 위치하여 기능장애가 일어난 대측 손을 보조수로 사용하여 후두골을 가로 질러 손바닥은 후두골을 지지하고 지복으로는 후두유양돌기 봉합의 내측에 대고 신전을 유도한다.,보조수의 동작을 설명하는 영상,,,,,,,,,,,
1,PJ,,시술하기,3,2,0,"주동수인 동측 손의 1,2,3지를 이용하여 측두골의 관골아치를 파지하여 내회전을 유도하고 4,5지를 이용하여 유양돌기를 외방에서 내방으로 접촉한다.",주동수의 동작을 설명하는 영상,,,,,,,,,,,
2,PJ,,시술하기,3,3,0,이 상태를 유지하면서 환자는 숨을 끝까지 내쉬게 하고 참고 기다린다.,,,,,,,,,,,,
2,PJ,,시술하기,3,3,0,최대한 숨을 참았다가 들이쉬기 직전에 교정방향을 바뀌어 후두골을 골곡하고 측두골을 외회전시키고 나서 한번에 크게 숨을 들이쉬게 한다. ,,,,,,,,,,,,
3,PJ,,재평가,4,1,0,재평가는 시술과 같은 과정을 거치는지? 아니면 진단과 같은 방법인지?,,,,,,,,,,,,
1,PJ,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",,,,,,,,,,,,
